epochs,train_loss,train_ce_loss,train_sp_loss,train_acc,test_acc,sparsity_global,sparsity_fc1,sparsity_fc2,sparsity_fc3,lr,epoch_time_s,effective_lambda
39,1.207182409365972,1.195979947157395,560122.991025641,0.5739383012820513,0.5726,0.04973886006230296,0.04945564270019531,0.053531646728515625,0.009375,0.00011474337861210535,42.17690563201904,2e-08
40,1.201878163447747,1.1907352274809129,557146.8283653846,0.5732371794871794,0.5715,0.050963338368863534,0.05069796244303385,0.054553985595703125,0.009375,9.549150281252626e-05,39.878504037857056,2e-08
41,1.20069633324941,1.189603907481218,554621.058974359,0.5737179487179487,0.5723,0.0519887216634139,0.05173556009928385,0.05544281005859375,0.009375,7.783603724899252e-05,40.043508768081665,2e-08
42,1.1961471814375657,1.185096476933895,552535.2572115385,0.5777043269230769,0.5762,0.05280855915027773,0.05257129669189453,0.056079864501953125,0.009375,6.184665997806817e-05,40.97433853149414,2e-08
43,1.1902038597143614,1.17918678017763,550853.8578525641,0.5809495192307692,0.578,0.05348677235024771,0.05326302846272787,0.05660247802734375,0.009375,4.7586473766990294e-05,41.231404304504395,2e-08
44,1.1893755266299615,1.178385377388734,549507.603525641,0.58046875,0.5768,0.05399726486263324,0.05378500620524088,0.056980133056640625,0.009375,3.5111757055874305e-05,40.99631953239441,2e-08
45,1.1903111178141375,1.1793415870421973,548476.4979166667,0.5787860576923077,0.5797,0.05436730596006606,0.05415948232014974,0.057300567626953125,0.009375,2.4471741852423218e-05,40.52656149864197,2e-08
46,1.184269908299813,1.1733153644280556,547727.1423076923,0.5837139423076924,0.5806,0.05462005986338388,0.05441983540852865,0.057464599609375,0.009375,1.5708419435684507e-05,42.436681270599365,2e-08
47,1.1879747548164465,1.1770306307535905,547206.1516025641,0.5813501602564103,0.5806,0.05477546539558625,0.054576873779296875,0.0576019287109375,0.009375,8.856374635655634e-06,42.30126190185547,2e-08
48,1.185517382621765,1.17457976937294,546880.6317307692,0.5830528846153846,0.5809,0.05486196470124606,0.054664293924967446,0.05767822265625,0.009375,3.942649342761115e-06,40.3069269657135,2e-08
49,1.1837433096690055,1.1728092037714444,546705.2682692307,0.5829326923076923,0.5799,0.054909759232847924,0.05471165974934896,0.05773162841796875,0.009375,9.866357858642198e-07,40.811848640441895,2e-08
50,1.1835066500382545,1.1725739052662483,546637.2886217949,0.5807892628205128,0.5802,0.0549126914127008,0.05471483866373698,0.05773162841796875,0.009375,0.0,41.86024355888367,2e-08
